FID,UF,COD_IBGE,CAPITAIS,XCOORD,YCOORD,Municipio,UF_1,Faixa_de_r,Produto,UH,Valor,Concluidas,Entregues,Sub_FGTS,Sub_OGU,Percentual,IF,PMCMV,Faixa,UH_CONC,the_geom
MCMV.20227,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,40,5200000,0,0,0,0,89.92,Caixa,1,75-95,40,POINT (-47.92972 -15.779719999999884)
MCMV.20199,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,166,14770500,166,166,0,0,100,Caixa,1,95-100,0,POINT (-47.92972 -15.779719999999884)
MCMV.20200,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,198,18329800,198,198,0,0,100,Caixa,2,95-100,0,POINT (-47.92972 -15.779719999999884)
MCMV.20201,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,416,22019400,0,0,1378130,459376,0,Caixa,2,0-50,416,POINT (-47.92972 -15.779719999999884)
MCMV.20202,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,100,11686100,0,0,0,0,1,Caixa,1,0-50,100,POINT (-47.92972 -15.779719999999884)
MCMV.20203,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,82,5119970,0,0,1454470,484824,18.31,Caixa,2,0-50,82,POINT (-47.92972 -15.779719999999884)
MCMV.20204,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,30,2921560,0,0,27135.8,9045.26,31.4595,Caixa,2,0-50,30,POINT (-47.92972 -15.779719999999884)
MCMV.20205,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,310,15500000,0,0,0,0,38.51,Caixa,1,0-50,310,POINT (-47.92972 -15.779719999999884)
MCMV.20206,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,58,2900000,0,0,404817,134939,41.99,Caixa,2,0-50,58,POINT (-47.92972 -15.779719999999884)
MCMV.20207,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,310,15500000,0,0,0,0,60.68,Caixa,1,50-75,310,POINT (-47.92972 -15.779719999999884)
MCMV.20208,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,32,3158070,0,0,0,0,61.94,Caixa,1,50-75,32,POINT (-47.92972 -15.779719999999884)
MCMV.20209,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,88,6007220,0,0,1618040,539347,64.72,Caixa,2,50-75,88,POINT (-47.92972 -15.779719999999884)
MCMV.20210,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,88,6120750,0,0,1610180,536726,67.75,Caixa,2,50-75,88,POINT (-47.92972 -15.779719999999884)
MCMV.20211,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,260,13000000,0,0,0,0,77.92,Caixa,1,75-95,260,POINT (-47.92972 -15.779719999999884)
MCMV.20212,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,105,5250000,0,0,568374,189458,83.81,Caixa,2,75-95,105,POINT (-47.92972 -15.779719999999884)
MCMV.20213,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,36,1800000,0,0,0,0,86.51,Caixa,1,75-95,36,POINT (-47.92972 -15.779719999999884)
MCMV.20214,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,88,4400000,0,0,0,0,87.57,Caixa,1,75-95,88,POINT (-47.92972 -15.779719999999884)
MCMV.20215,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,88,4400000,0,0,0,0,89.37,Caixa,1,75-95,88,POINT (-47.92972 -15.779719999999884)
MCMV.20216,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,30,2036210,0,0,0,0,89.47,Caixa,1,75-95,30,POINT (-47.92972 -15.779719999999884)
MCMV.20217,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,40,2000000,0,0,0,0,93.37,Caixa,1,75-95,40,POINT (-47.92972 -15.779719999999884)
MCMV.20218,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,32,1791730,32,0,0,0,95,Caixa,1,95-100,0,POINT (-47.92972 -15.779719999999884)
MCMV.20219,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 2,CCFGTS,109,5450000,109,86,0,0,100,Caixa,1,95-100,0,POINT (-47.92972 -15.779719999999884)
MCMV.20220,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,507,55039100,0,0,0,0,0,Caixa,1,0-50,507,POINT (-47.92972 -15.779719999999884)
MCMV.20221,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,503,25989700,0,0,2386960,795653,0,Caixa,2,0-50,503,POINT (-47.92972 -15.779719999999884)
MCMV.20222,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,387,36301300,0,0,0,0,1,Caixa,2,0-50,387,POINT (-47.92972 -15.779719999999884)
MCMV.20223,DF,530010,Capital,-47.9297,-15.7797,Brasília,,Faixa 3,CCFGTS,96,7749770,0,0,0,0,62,Caixa,1,50-75,96,POINT (-47.92972 -15.779719999999884)
